"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 25, 2019","3,892.5","3,960.0","3,970.0","3,842.5","-","-1.77%"
"Mar 24, 2019","3,962.5","3,935.0","3,967.5","3,935.0","-","-0.44%"
"Mar 22, 2019","3,980.0","3,970.0","3,995.0","3,955.0","1.70K","0.38%"
"Mar 21, 2019","3,965.0","4,015.0","4,060.0","3,900.0","3.77K","-1.12%"
"Mar 20, 2019","4,010.0","3,990.0","4,020.0","3,965.0","2.56K","0.38%"
"Mar 19, 2019","3,995.0","3,970.0","4,015.0","3,950.0","2.33K","0.88%"
"Mar 18, 2019","3,960.0","3,965.0","4,025.0","3,935.0","2.76K","-0.19%"
"Mar 17, 2019","3,967.5","3,887.5","4,002.5","3,887.5","-","1.73%"
"Mar 15, 2019","3,900.0","3,850.0","3,910.0","3,845.0","2.94K","1.43%"
"Mar 14, 2019","3,845.0","3,840.0","3,905.0","3,775.0","4.46K","0.00%"
"Mar 13, 2019","3,845.0","3,855.0","3,870.0","3,820.0","2.11K","0.00%"
"Mar 12, 2019","3,845.0","3,845.0","3,880.0","3,790.0","2.96K","0.26%"
"Mar 11, 2019","3,835.0","3,885.0","3,915.0","3,810.0","3.54K","-1.60%"
"Mar 10, 2019","3,897.5","3,815.0","3,902.5","3,810.0","-","0.19%"
"Mar 08, 2019","3,890.0","3,905.0","3,920.0","3,845.0","3.78K","0.52%"
"Mar 07, 2019","3,870.0","3,855.0","3,890.0","3,830.0","4.09K","0.78%"
"Mar 06, 2019","3,840.0","3,835.0","3,900.0","3,810.0","4.10K","0.13%"
"Mar 05, 2019","3,835.0","3,675.0","3,865.0","3,655.0","4.97K","3.93%"
"Mar 04, 2019","3,690.0","3,780.0","3,795.0","3,660.0","4.58K","-2.32%"
"Mar 03, 2019","3,777.5","3,817.5","3,817.5","3,752.5","-","-1.11%"
"Mar 01, 2019","3,820.0","3,785.0","3,830.0","3,780.0","1.83K","0.79%"
"Feb 28, 2019","3,790.0","3,765.0","3,875.0","3,745.0","6.75K","2.16%"
"Feb 27, 2019","3,710.0","3,780.0","3,815.0","3,620.0","4.84K","-1.72%"
"Feb 26, 2019","3,775.0","3,805.0","3,820.0","3,745.0","3.07K","-1.18%"
"Feb 25, 2019","3,820.0","3,770.0","3,845.0","3,705.0","5.87K","2.90%"
"Feb 24, 2019","3,712.5","3,940.0","3,940.0","3,707.5","-","-5.55%"
"Feb 22, 2019","3,930.8","3,885.0","3,955.0","3,885.0","0.39K","0.92%"
"Feb 21, 2019","3,895.0","3,920.0","3,985.0","3,855.0","5.43K","-1.02%"
